case_id,case_code,case_name,case_type,confidence_level,vendor_id,vendor_name,sector,year_window,year_start,year_end,has_institution_filter,total_contracts,in_window_contracts,out_window_contracts,noise_pct,total_value_mxn,in_window_value_mxn,out_window_value_mxn
54,FRANCISCO_HERRERA_OREA_INPI_2015,Francisco Herrera Orea — INPI 467M Natural Person Direct Award (Indigenous Rights Agency Capture),procurement_fraud,low,194352,FRANCISCO HERRERA OREA,Trabajo,2014-2019,2014,2019,no,3,3,0,0.0,467885107.09,467885107.09,0.0
56,COMERCIALIZADORA_HAGRE_CFE_2017,"Comercializadora Hagre SA de CV — CFE 3.25B Restricted Tender Concentration (7 contracts, March 2017)",bid_rigging,medium,168672,COMERCIALIZADORA HAGRE SA DE CV,Energia,2015-2017,2015,2017,no,29,29,0,0.0,3250837637.7,3250837637.7,0.0
57,GRUPO_CEN_IMSS_2017,Grupo C.E.N. SA de CV — IMSS 1.31B Same-Week Direct Award Threshold Splitting (June 2017),bid_rigging,high,124907,GRUPO C.E.N. SA DE CV,Salud,2014-2018,2014,2018,no,39,39,0,0.0,1310219666.14,1310219666.14,0.0
58,ALMACENAJE_AVIOR_BIRMEX_2024,Almacenaje y Distribucion Avior SA de CV — BIRMEX 3.98B Emergency Direct Award Scheme (2022-2025),overpricing,medium,280146,ALMACENAJE Y DISTRIBUCION AVIOR SA DE CV,Salud,2022-2025,2022,2025,no,18,18,0,0.0,5281962896.28,5281962896.28,0.0
59,HEALTH_PHARMA_CONTROL_INDEP_2023,"Health & Pharma Control SA de CV — INDEP 871M + NAFIN 380M (Incorporated Oct 2021, Seized Assets)",procurement_fraud,medium,278669,HEALTH & PHARMA CONTROL SA DE CV,Salud,2022-2023,2022,2023,no,5,5,0,0.0,1410138845.89,1410138845.89,0.0
60,RHINNO_SMART_IMSS_2020_2025,"Rhinno Smart SA de CV — IMSS/ISSSTE 3.2B (Incorporated 2018, 2.15B + 816M in Early 2025)",overpricing,medium,261043,RHINNO SMART SA DE CV,Salud,2020-2025,2020,2025,no,103,103,0,0.0,3202649782.58,3202649782.58,0.0
61,LOGISTICA_SALUD_IMSS_SOLE_SOURCE_2025,Logistica y Transporte para la Industria de la Salud SAPI — IMSS 1.47B Sole-Source (2025),monopoly,medium,246015,LOGISTICA Y TRANSPORTE PARA LA INDUSTRIA DE LA SALUD SAPI DE CV,Salud,2019-2025,2019,2025,no,18,18,0,0.0,1471093520.48,1471093520.48,0.0
62,PHARMAJAL_JALISCO_STATE_PHARMA_2024,Pharmajal Servicios Integrales Farmaceuticos SA de CV — Jalisco State Finance Ministry 1.65B (2024-2025),overpricing,low,310412,PHARMAJAL SERVICIOS INTEGRALES FARMACEUTICOS SA DE CV,Salud,2024-2025,2024,2025,no,3,3,0,0.0,1648684697.38,1648684697.38,0.0
68,ATLANTIS_OPERADORA_INDEP_NAFIN_2020,Atlantis Operadora Servicios de Salud SA de CV — INDEP 3.22B + NAFIN 1.87B (Incorporated Dec 2018),procurement_fraud,medium,259351,ATLANTIS OPERADORA SERVICIOS DE SALUD SA DE CV,Salud,2020-2025,2020,2025,no,30,30,0,0.0,5822899061.65,5822899061.65,0.0
69,PREVENCION_KB_IMSS_DA_RING_2020,"Prevencion y Soluciones K-B SA de CV — IMSS 2.84B Direct Award Ring (Incorporated Jul 2019, 76% DA)",overpricing,medium,264752,PREVENCION Y SOLUCIONES K-B SA DE CV,Salud,2020-2025,2020,2025,no,164,164,0,0.0,2843921770.42,2843921770.42,0.0
70,ELEMENTCO_IMSS_SOLE_SOURCE_2023,"Elementco SAPI de CV — IMSS 880M Shell Company (Incorporated Dec 2022, 97% DA, 541M single DA)",monopoly,high,294524,ELEMENTCO S A P I DE CV,Salud,2023-2025,2023,2025,no,83,83,0,0.0,899410282.35,899410282.35,0.0
71,TRANS_CE_CARGO_SEDENA_SOLE_SOURCE_2024,"Trans CE Cargo SRL de CV — SEDENA 2.57B Sole-Source Military Logistics (Inc. Sep 2016, 1.42B+833M Jan 2024)",monopoly,medium,241330,TRANS CE CARGO S DE RL DE CV,Defensa,2019-2025,2019,2025,no,15,15,0,0.0,2569876106.18,2569876106.18,0.0
72,PUERTA_SOL_CAPITAL_IMSS_EMERGENCY_2025,"Puerta del Sol Capital SA de CV — IMSS 1.44B Emergency DA Ring (June 2025: 613M+548M same month, 92% DA)",overpricing,high,280939,PUERTA DEL SOL CAPITAL SA DE CV,Salud,2022-2025,2022,2025,no,67,67,0,0.0,1444473435.29,1444473435.29,0.0
73,ANGEL_ANGUIANO_IMSS_NATURAL_PERSON_2021,"Angel Anguiano Martinez — IMSS 793M Natural Person Direct Award (Adquisiciones, September 2021)",procurement_fraud,high,167733,ANGEL ANGUIANO MARTINEZ,Salud,2015-2024,2015,2024,no,112,112,0,0.0,827099985.03,827099985.03,0.0
